site,mm_code,WW,IB1,FB693,FB9301,FB1591,ULT,Si_remaining,SBB,N_TESTED,total_tested,yield_sdhmt%,SBB_sdhmt%,ULT_sdhmt%,IOE_chipping_sdhmt%,Si_remaining_sdhmt%,yield_loss_sdhmt%,WLA_site,test_end_ww,class_total_tested,class_8.0,class_10.0,class_15.0,class_53.0,class_97.0,class_98.0,class_99.0,class_36.0,class_1594.0,class_902.0,class_912.0,class_900.0,class_9.0_excluded,class_WIYL,class_sdhmt_sampling,class_SBB,class_Si_remaining,total_WLA_EYL,total_WLA_EY,total_SBB,total_Si_remainig,total_ULT,total_IOE_chipping
D1V,ARROW LAKE-BASE-P281,202505,7652,5030,805,0,1,16,29,13542,7707,0.9928636304658103,0.0037628130271182042,0.0001297521733489036,0.0,0.0020760347735824577,0.007136369534189724,D1V,202505,3580.0,0.001423431014105839,0.0020185708518368995,0.0012111425111021397,0.0,0.0,0.0004037141703673799,0.0008074283407347598,0.009894474313274143,0.0004037141703673799,0.0033519553072625698,0.0,0.0,-0.0005029041433225567,0.018607812365361173,0.30810055865921787,0.014143904519951641,0.0033519553072625698,0.01507345442044997,0.9849265455795501,0.010945484431517207,0.0029588434780309604,3.997671709604488e-05,0.0002793296089385475
D1V,ARROW LAKE-BASE-P281,202506,6678,13420,1607,0,0,19,22,21756,6729,0.9924208649130629,0.00326943082181602,0.0,0.0,0.0028235993461138355,0.007579135086937083,D1V,202506,85437.0,-0.0005587759488535323,0.0007692317276434034,0.0003724567052384744,6.607310989610004e-05,0.00013214621979220007,0.00012728255635890913,0.0015377907292301492,0.0025813785863528635,1.651827747402501e-05,0.003874199702704917,0.0,0.0,0.0005324394535171047,0.009434222841880589,0.2914194084530122,0.004329625094372884,0.004006345922497117,0.008893614265706526,0.9911063857342934,0.004020663906619091,0.0036616706148576757,4.6818123295527696e-05,1.1704530823881924e-05
D1V,ARROW LAKE-BASE-P281,202507,6760,13275,1448,0,1,25,22,21534,6811,0.9925121127587726,0.0032300690060196743,0.00014682131845543972,0.0,0.003670532961385993,0.007487887241227398,D1V,202507,142567.0,0.00045763291649188013,0.0006416354327031978,0.0005023253808821552,1.4849091631142357e-05,-2.6936664440328e-05,0.00038346005308459246,0.006007750225556078,0.005105250489160743,0.0,0.0023217154039854946,0.0,0.0,0.00033331714579882806,0.015740999474853783,0.16068936009034349,0.012212269063911898,0.0022947787395451668,0.014414812151278574,0.9855851878487214,0.010768925084405748,0.0025158478050943574,3.605562430923637e-05,0.0
D1V,ARROW LAKE-BASE-P281,202508,3953,7967,700,0,0,16,13,12654,3987,0.9914722849260096,0.0032605969400551793,0.0,0.0,0.00401304238776022,0.008527715073990416,D1V,202508,152331.0,9.83009145511212e-05,0.000482003255672122,-3.5266356092264993e-06,4.378731043743523e-05,0.0,0.000226920118980751,0.0033948879223425683,0.0028538159043665304,0.0,0.002140076543842028,0.0,0.0,0.0004024122015908264,0.009638677536174155,0.10047199847700074,0.006829007996932342,0.002140076543842028,0.009527056917365627,0.9904729430826343,0.006470482606660467,0.0023282571652596513,3.938791184985328e-05,0.0
D1V,ARROW LAKE-BASE-P281,202509,2386,4837,525,0,0,4,11,7770,2408,0.9908637873754153,0.004568106312292359,0.0,0.0,0.0016611295681063123,0.00913621262458475,D1V,202509,52267.0,-0.001293214778509541,0.00033494896953934665,0.0007881152224455216,0.00015762304448910431,0.0,0.0003743547306616227,-0.0001092578770045923,0.00301454072585412,1.970288056113804e-05,0.0029464097805498688,0.0,0.0,0.001024549789179178,0.007238069607204628,0.028947519467350337,0.0019470170398793334,0.0029464097805498688,0.007293016139152055,0.992706983860848,0.0020228910726181725,0.002909204106579159,0.00015306024834025293,1.9132531042531616e-05
D1V,ARROW LAKE-BASE-P281,202510,29708,49988,5893,1,1,58,3550,89244,33363,0.8904475017234661,0.10640529928363757,2.9973323741869737e-05,2.9973323741869737e-05,0.0017384527770284448,0.1095524982765339,D1V,202510,25716.0,0.0010981902866678264,0.0012434099273848603,0.0006796066409526833,0.00024868198547697205,0.00024868198547697205,7.042886604738204e-05,0.001931368027528963,0.004198549824965118,0.0,0.004394151501011044,0.0,0.0,-0.0005224183485282016,0.01359065069698362,0.2181521231917872,0.008471518066546767,0.004642833486488016,0.03452493149186918,0.9654750685081308,0.029835980371255094,0.004009236668162141,0.0002009702265590251,6.538744213403687e-06
D1V,ARROW LAKE-BASE-P281,202511,38744,52753,6384,0,4,150,6912,105006,45869,0.8446663323813469,0.15069000850247444,8.720486603152456e-05,0.0,0.003270182476182171,0.15533366761865308,D1V,202511,65780.0,-0.00025718716040825013,0.0012502843093719204,0.0005754782715434298,0.0001891334250343879,0.0,0.00025790921595598347,0.0002207233552477192,0.0020587157520028016,3.43878954607978e-05,0.0035877166311948923,0.0,0.0,4.246589190106396e-05,0.007925239691843949,0.11584068105807237,0.003272536256214191,0.0035877166311948923,0.025001132376585293,0.9749988676234147,0.02034947664108046,0.0035509332584190193,0.0001773259513402283,3.0404378230465186e-05
D1V,ARROW LAKE-BASE-P281,202512,10268,11056,1798,14,1,48,6086,29304,16450,0.62419452887538,0.3699696048632219,6.0790273556231004e-05,0.000851063829787234,0.002917933130699088,0.37580547112462004,D1V,202512,115796.0,0.0006543764731155565,0.0005078720162519045,0.0005345121039411782,0.00010743446497636442,-4.5282030272230406e-05,-2.219667374131983e-05,1.7773655791815174e-06,0.0021850932430458035,1.9533539086611713e-05,0.0023748661439082523,0.0,0.0,0.00022286124763091743,0.006521314354435609,0.11578983730007945,0.003349119097992446,0.002329584113636022,0.0492806667843523,0.9507193332156477,0.045800045495624456,0.0023977089505974165,0.00010203354164083341,0.00011581629615692454
D1V,ARROW LAKE-BASE-P281,202513,18497,22476,2214,1,3,49,899,44178,19488,0.9491481937602627,0.046130952380952384,0.0001539408866995074,5.1313628899835795e-05,0.002514367816091954,0.050851806239737285,D1V,202513,125659.0,0.0005032650957019725,0.0005687941458631712,0.0007224198289945902,4.7517676575686154e-05,9.503535315137231e-06,0.0001763132518524197,0.0009390097471532225,0.002265673048137548,9.503535315137231e-06,0.0011777906874955236,0.0,0.0,0.00013262721841162057,0.006542914235500892,0.16262265337142584,0.004276742036855914,0.0011872942228106607,0.013748543821177768,0.9862514561788223,0.01108318477777866,0.001403106451769217,6.482450138632675e-05,1.630280367158854e-05
D1V,ARROW LAKE-BASE-P281,202514,5087,10223,864,0,0,10,20,16206,5119,0.9937487790584099,0.003907013088493847,0.0,0.0,0.0019535065442469234,0.006251220941590141,D1V,202514,67817.0,0.00011330919272778102,0.00036748258452099446,0.0015018853454336295,0.0001437975330734326,-0.00019124115509657678,7.988751837412923e-05,0.0006870326580175113,0.0023327155365245734,0.0,0.000811006089918457,0.0,0.0,-0.0013856428186978483,0.004460232484796083,0.0771045608033384,0.0035005399717908605,0.0006197649348218801,0.004598325863161038,0.995401674136839,0.0035318809029326083,0.0007226024958417359,0.00013271008744120206,0.0
